original_con,county_name,super_con,region,country,type,electorate,valid_votes
Brecon and Radnorshire,Powys,Mid Wales,Wales,Wales,County,55490,41319
Bridgend,Gwent and Mid Glamorgan,West South Wales,Wales,Wales,County,63303,42236
Caerphilly,Gwent and Mid Glamorgan,Mid South Wales,Wales,Wales,County,63166,40117
Cardiff Central,South Glamorgan,Cardiff & Glamorgan,Wales,Wales,Borough,64037,41822
Cardiff North,South Glamorgan,Cardiff & Glamorgan,Wales,Wales,Borough,68438,52666
Cardiff South and Penarth,South Glamorgan,Cardiff & Glamorgan,Wales,Wales,Borough,78837,50579
Cardiff West,South Glamorgan,Cardiff & Glamorgan,Wales,Wales,Borough,68508,46177
Carmarthen East and Dinefwr,Dyfed,Carmarthen & Pembrokeshire,Wales,Wales,County,57419,41002
Carmarthen West and South Pembrokeshire,Dyfed,Carmarthen & Pembrokeshire,Wales,Wales,County,59158,42114
Ceredigion,Dyfed,Mid Wales,Wales,Wales,County,56386,40105
Clwyd South,Clwyd,North East Wales,Wales,Wales,County,53919,36306
Clwyd West,Clwyd,North East Wales,Wales,Wales,County,57714,40203
Cynon Valley,Gwent and Mid Glamorgan,Mid South Wales,Wales,Wales,County,51134,30236
Delyn,Clwyd,North East Wales,Wales,Wales,County,54560,38370
Dwyfor Meirionnydd,Gwynedd,North West Wales,Wales,Wales,County,44362,29928
Gower,West Glamorgan,"Swansea, Gower & Llanelli",Wales,Wales,County,61762,44482
Islwyn,Gwent and Mid Glamorgan,Mid South Wales,Wales,Wales,County,55423,34350
Llanelli,Dyfed,"Swansea, Gower & Llanelli",Wales,Wales,County,60518,38233
Merthyr Tydfil and Rhymney,Gwent and Mid Glamorgan,Mid South Wales,Wales,Wales,County,56322,32246
Monmouth,Gwent and Mid Glamorgan,Newport & Monmouth,Wales,Wales,County,67098,50217
Montgomeryshire,Powys,Mid Wales,Wales,Wales,County,48997,34214
Neath,West Glamorgan,West South Wales,Wales,Wales,County,56419,36756
Newport East,Gwent and Mid Glamorgan,Newport & Monmouth,Wales,Wales,County,58554,36282
Newport West,Gwent and Mid Glamorgan,Newport & Monmouth,Wales,Wales,County,66657,43433
Ogmore,Gwent and Mid Glamorgan,West South Wales,Wales,Wales,County,57581,35390
Pontypridd,Gwent and Mid Glamorgan,Mid South Wales,Wales,Wales,County,60327,39060
Preseli Pembrokeshire,Dyfed,Carmarthen & Pembrokeshire,Wales,Wales,County,59606,42419
Rhondda,Gwent and Mid Glamorgan,West South Wales,Wales,Wales,County,50262,29642
Swansea East,West Glamorgan,"Swansea, Gower & Llanelli",Wales,Wales,Borough,58450,33579
Swansea West,West Glamorgan,"Swansea, Gower & Llanelli",Wales,Wales,Borough,57078,35830
Torfaen,Gwent and Mid Glamorgan,Newport & Monmouth,Wales,Wales,County,62330,37176
Vale Of Clwyd,Clwyd,North East Wales,Wales,Wales,County,56649,37213
Vale Of Glamorgan,South Glamorgan,Cardiff & Glamorgan,Wales,Wales,County,76508,54807
Wrexham,Clwyd,North East Wales,Wales,Wales,County,49737,33532
Ynys Mon,Gwynedd,South Somerset,Wales,Wales,County,51925,36552
Aldridge-Brownhills,West Midlands,Wolverhampton & Walsall,West Midlands,England,Borough,60138,39342
"Birmingham, Edgbaston",West Midlands,Birmingham,West Midlands,England,Borough,68828,42328
"Birmingham, Erdington",West Midlands,Birmingham,West Midlands,England,Borough,66148,35229
"Birmingham, Hall Green",West Midlands,Birmingham,West Midlands,England,Borough,80283,52911
"Birmingham, Hodge Hill",West Midlands,Birmingham,West Midlands,England,Borough,78295,45003
"Birmingham, Ladywood",West Midlands,Birmingham,West Midlands,England,Borough,74912,42118
"Birmingham, Northfield",West Midlands,Birmingham,West Midlands,England,Borough,73694,43098
"Birmingham, Perry Barr",West Midlands,Birmingham,West Midlands,England,Borough,72006,42147
"Birmingham, Selly Oak",West Midlands,Birmingham,West Midlands,England,Borough,82665,49467
"Birmingham, Yardley",West Midlands,Birmingham,West Midlands,England,Borough,74704,42678
Bromsgrove,Hereford and Worcester,Worcestershire East,West Midlands,England,County,75078,54272
Burton,Staffordshire,Stafforshire North,West Midlands,England,County,75036,48738
Cannock Chase,Staffordshire,Staffordshire South,West Midlands,England,County,74813,46313
Coventry North East,West Midlands,"Conventry, Meriden & Solihull",West Midlands,England,Borough,76006,44444
Coventry North West,West Midlands,"Conventry, Meriden & Solihull",West Midlands,England,Borough,75247,47744
Coventry South,West Midlands,"Conventry, Meriden & Solihull",West Midlands,England,Borough,70979,45044
Dudley North,West Midlands,Dudley & West Bromwich,West Midlands,England,Borough,61936,36684
Dudley South,West Midlands,Dudley & West Bromwich,West Midlands,England,Borough,60731,36576
Halesowen and Rowley Regis,West Midlands,Dudley & West Bromwich,West Midlands,England,Borough,68300,42345
Hereford and South Herefordshire,Hereford and Worcester,Herefordshire & Worcestershire West,West Midlands,England,County,72085,49646
Kenilworth and Southam,Warwickshire,Warwickshire,West Midlands,England,County,68154,52597
Lichfield,Staffordshire,Staffordshire South,West Midlands,England,County,76616,53993
Ludlow,Shropshire,Shropshire,West Midlands,England,County,69444,50225
Meriden,West Midlands,"Conventry, Meriden & Solihull",West Midlands,England,County,85368,54161
Mid Worcestershire,Hereford and Worcester,Worcestershire East,West Midlands,England,County,78220,56123
Newcastle-Under-Lyme,Staffordshire,Stafforshire North,West Midlands,England,Borough,68211,44739
North Herefordshire,Hereford and Worcester,Herefordshire & Worcestershire West,West Midlands,England,County,70252,51033
North Shropshire,Shropshire,Shropshire,West Midlands,England,County,83258,56513
North Warwickshire,Warwickshire,Warwickshire,West Midlands,England,County,70271,45914
Nuneaton,Warwickshire,Warwickshire,West Midlands,England,County,70226,45190
Redditch,Hereford and Worcester,Worcestershire East,West Midlands,England,County,65391,44067
Rugby,Warwickshire,Warwickshire,West Midlands,England,County,72292,50814
Shrewsbury and Atcham,Shropshire,Shropshire,West Midlands,England,County,82238,59065
Solihull,West Midlands,"Conventry, Meriden & Solihull",West Midlands,England,Borough,78760,55344
South Staffordshire,Staffordshire,Staffordshire South,West Midlands,England,County,73668,50005
Stafford,Staffordshire,Staffordshire South,West Midlands,England,County,72572,51149
Staffordshire Moorlands,Staffordshire,Stafforshire North,West Midlands,England,County,65485,43656
Stoke-On-Trent Central,Staffordshire,Stafforshire North,West Midlands,England,Borough,55419,32070
Stoke-On-Trent North,Staffordshire,Stafforshire North,West Midlands,England,Borough,68298,40134
Stoke-On-Trent South,Staffordshire,Stafforshire North,West Midlands,England,Borough,64491,39604
Stone,Staffordshire,Stafforshire North,West Midlands,England,County,69378,49843
Stourbridge,West Midlands,Dudley & West Bromwich,West Midlands,England,Borough,69891,45689
Stratford-On-Avon,Warwickshire,Warwickshire,West Midlands,England,County,74037,55048
Sutton Coldfield,West Midlands,Wolverhampton & Walsall,West Midlands,England,Borough,75638,52325
Tamworth,Staffordshire,Staffordshire South,West Midlands,England,County,71572,46056
Telford,Shropshire,Shropshire,West Midlands,England,Borough,68921,42825
The Wrekin,Shropshire,Shropshire,West Midlands,England,County,70693,48890
Walsall North,West Midlands,Wolverhampton & Walsall,West Midlands,England,Borough,67177,36556
Walsall South,West Midlands,Wolverhampton & Walsall,West Midlands,England,Borough,68024,42472
Warley,West Midlands,Dudley & West Bromwich,West Midlands,England,Borough,62357,37239
Warwick and Leamington,Warwickshire,Warwickshire,West Midlands,England,Borough,76362,54205
West Bromwich East,West Midlands,Dudley & West Bromwich,West Midlands,England,Borough,62046,35975
West Bromwich West,West Midlands,Dudley & West Bromwich,West Midlands,England,Borough,64517,34459
West Worcestershire,Hereford and Worcester,Herefordshire & Worcestershire West,West Midlands,England,County,76241,57530
Wolverhampton North East,West Midlands,Wolverhampton & Walsall,West Midlands,England,Borough,61660,34281
Wolverhampton South East,West Midlands,Wolverhampton & Walsall,West Midlands,England,Borough,62883,33443
Wolverhampton South West,West Midlands,Wolverhampton & Walsall,West Midlands,England,Borough,60534,41136
Worcester,Hereford and Worcester,Worcestershire East,West Midlands,England,Borough,73485,50898
Wyre Forest,Hereford and Worcester,Worcestershire East,West Midlands,England,County,78077,50561
Barnsley Central,South Yorkshire,Doncaster & Barnsley,Yorkshire and The Humber,England,Borough,65277,36903
Barnsley East,South Yorkshire,Doncaster & Barnsley,Yorkshire and The Humber,England,County,69504,38070
Batley and Spen,West Yorkshire,Huddersfield & South,Yorkshire and The Humber,England,Borough,79558,52927
Beverley and Holderness,Humberside,Kingston Upon Hull,Yorkshire and The Humber,England,County,79696,53542
Bradford East,West Yorkshire,Bradford & North,Yorkshire and The Humber,England,Borough,73206,44184
Bradford South,West Yorkshire,Bradford & North,Yorkshire and The Humber,England,Borough,69046,39741
Bradford West,West Yorkshire,Bradford & North,Yorkshire and The Humber,England,Borough,70694,44261
Brigg and Goole,Humberside,Scunthorpe & Grimsby,Yorkshire and The Humber,England,County,65939,43402
Calder Valley,West Yorkshire,Huddersfield & South,Yorkshire and The Humber,England,County,79287,57793
Cleethorpes,Humberside,Scunthorpe & Grimsby,Yorkshire and The Humber,England,County,73689,46339
Colne Valley,West Yorkshire,Huddersfield & South,Yorkshire and The Humber,England,County,84174,60892
Dewsbury,West Yorkshire,Huddersfield & South,Yorkshire and The Humber,England,County,81253,56389
Doncaster Central,South Yorkshire,Doncaster & Barnsley,Yorkshire and The Humber,England,Borough,71389,41581
Doncaster North,South Yorkshire,Doncaster & Barnsley,Yorkshire and The Humber,England,County,72362,40698
Don Valley,South Yorkshire,Doncaster & Barnsley,Yorkshire and The Humber,England,County,75356,45437
East Yorkshire,Humberside,Kingston Upon Hull,Yorkshire and The Humber,England,County,80923,52769
Elmet and Rothwell,West Yorkshire,Leeds & East,Yorkshire and The Humber,England,County,80957,58225
Great Grimsby,Humberside,Scunthorpe & Grimsby,Yorkshire and The Humber,England,Borough,61409,33087
Halifax,West Yorkshire,Bradford & North,Yorkshire and The Humber,England,Borough,71887,46458
Haltemprice and Howden,Humberside,Scunthorpe & Grimsby,Yorkshire and The Humber,England,County,71083,49779
Harrogate and Knaresborough,North Yorkshire,North Yorkshire West,Yorkshire and The Humber,England,County,77941,56937
Hemsworth,West Yorkshire,Leeds & East,Yorkshire and The Humber,England,County,73726,43907
Huddersfield,West Yorkshire,Huddersfield & South,Yorkshire and The Humber,England,Borough,65525,41882
Keighley,West Yorkshire,Bradford & North,Yorkshire and The Humber,England,County,72778,52600
Kingston upon Hull East,Humberside,Kingston Upon Hull,Yorkshire and The Humber,England,Borough,65745,32442
Kingston upon Hull North,Humberside,Kingston Upon Hull,Yorkshire and The Humber,England,Borough,65515,34203
Kingston upon Hull West and Hessle,Humberside,Kingston Upon Hull,Yorkshire and The Humber,England,Borough,60192,31356
Leeds Central,West Yorkshire,Leeds & East,Yorkshire and The Humber,England,Borough,90971,49284
Leeds East,West Yorkshire,Leeds & East,Yorkshire and The Humber,England,Borough,67286,39052
Leeds North East,West Yorkshire,Leeds & East,Yorkshire and The Humber,England,Borough,70580,50500
Leeds North West,West Yorkshire,Leeds & East,Yorkshire and The Humber,England,Borough,67741,49283
Leeds West,West Yorkshire,Leeds & East,Yorkshire and The Humber,England,Borough,67727,40281
Morley and Outwood,West Yorkshire,Leeds & East,Yorkshire and The Humber,England,County,78803,51930
"Normanton, Pontefract and Castleford",West Yorkshire,Leeds & East,Yorkshire and The Humber,England,County,84527,48259
Penistone and Stocksbridge,South Yorkshire,Sheffield,Yorkshire and The Humber,England,County,70925,49520
Pudsey,West Yorkshire,Bradford & North,Yorkshire and The Humber,England,Borough,73212,54215
Richmond (Yorks),North Yorkshire,North Yorkshire West,Yorkshire and The Humber,England,County,82569,57703
Rotherham,South Yorkshire,Doncaster & Barnsley,Yorkshire and The Humber,England,Borough,61688,35651
Rother Valley,South Yorkshire,Sheffield,Yorkshire and The Humber,England,County,74804,48698
Scarborough and Whitby,North Yorkshire,North Yorkshire East,Yorkshire and The Humber,England,County,74404,49724
Scunthorpe,Humberside,Scunthorpe & Grimsby,Yorkshire and The Humber,England,County,61955,37750
Selby and Ainsty,North Yorkshire,North Yorkshire East,Yorkshire and The Humber,England,County,78398,56418
"Sheffield, Brightside and Hillsborough",South Yorkshire,Sheffield,Yorkshire and The Humber,England,Borough,69333,39600
Sheffield Central,South Yorkshire,Sheffield,Yorkshire and The Humber,England,Borough,89849,50913
"Sheffield, Hallam",South Yorkshire,Sheffield,Yorkshire and The Humber,England,County,72763,56885
"Sheffield, Heeley",South Yorkshire,Sheffield,Yorkshire and The Humber,England,Borough,66940,42695
Sheffield South East,South Yorkshire,Sheffield,Yorkshire and The Humber,England,Borough,67832,41998
Shipley,West Yorkshire,Bradford & North,Yorkshire and The Humber,England,County,74029,54004
Skipton and Ripon,North Yorkshire,North Yorkshire West,Yorkshire and The Humber,England,County,78347,58724
Thirsk and Malton,North Yorkshire,North Yorkshire East,Yorkshire and The Humber,England,County,80991,56588
Wakefield,West Yorkshire,Huddersfield & South,Yorkshire and The Humber,England,County,70192,45027
Wentworth and Dearne,South Yorkshire,Doncaster & Barnsley,Yorkshire and The Humber,England,County,74536,41557
York Central,North Yorkshire,North Yorkshire East,Yorkshire and The Humber,England,Borough,74899,49505
York Outer,North Yorkshire,North Yorkshire East,Yorkshire and The Humber,England,County,74673,55347
